Gene Symbol,lacZ 1,lacZ 2,lacZ 3,lacZ 4,lacZ 5,lacZ 6,HA cont 1,HA cont 2,HA cont 3,HA cont 4,HA chol 1,HA chol 2,HA chol 3,HA chol 4,HA bor 1,HA bor 2,HA bor 3,HA bor 4
Prdx4,0.261514739,0.338192256,-0.366970914,-0.067813423,0.131380807,-0.117732556,-0.001182375,-0.368451793,0.303821901,-0.196969752,0.961193928,0.180177791,0.050474862,0.473247451,0.259144039,0.5302551,1.434530405,2.67587962
Rpl29,0.429511355,1.04978114,-0.61765359,-0.586747364,-1.436100678,-0.565388188,0.917674658,0.90218364,-0.219128473,-0.300262126,0.95278113,0.810145521,1.397739786,0.438352828,-0.190852354,-0.601137347,-1.173507667,-0.72906551
Fmo5,-0.592329456,0.344761832,-0.841273035,-0.096865443,-0.502318624,0.686540285,-0.081725843,-0.306454689,-0.271408646,-0.208097647,0.385284351,0.175624463,0.113300214,0.394658626,-0.324587569,0.104586449,-0.686716699,0.381208201
Cyp1a2,-0.301171559,0.438271231,-0.862739684,0.742334456,0.184365232,1.414884136,0.464438187,-0.846990915,-0.205995741,0.309366181,0.374411297,0.023359527,0.560684918,0.838278694,-0.435995255,-0.054082577,0.216445285,0.441548418
C3,0.147279734,0.553060535,-0.625352328,-0.112265638,-0.580722292,0.25175324,0.136375063,0.177493625,0.030429043,-0.535888515,0.418379901,0.261665539,0.43672031,0.627536418,0.439006734,0.059486557,-0.22758997,0.140021904
Trim21,-0.229352159,0.491264008,-1.978847412,-0.530583537,-1.417970976,-0.41656228,0.496075261,0.61922335,0.260124321,0.087620024,1.108255077,0.846176312,0.517610773,0.698469501,-0.585806242,-0.778631007,-0.411077977,0.311056876
Pdia6,-0.014774869,0.815035087,-1.444899391,0.135527131,-0.239106391,0.708778043,0.310576566,-0.042633313,0.03825721,-0.221005749,0.435452294,0.216339696,-0.032326473,0.975354875,-0.081286227,0.270145771,-0.18225501,0.602902937
Sfn,2.16844273,0.684521363,-0.768064859,0.387521135,2.00697758,0.444210398,-0.107649705,-0.154914944,0.766169466,-0.318660446,-0.096916056,1.261358682,-0.05334068,0.555699341,1.166281471,3.280722975,2.719149305,2.944235506
Calr,-0.357854128,1.213720339,-1.16734526,-0.185641747,-0.678476859,0.371005229,0.66455392,0.031444979,-0.733716054,-0.588065947,0.827046284,0.527478725,-0.485197208,0.286725739,-0.206609162,0.402353612,-0.412571766,0.464651227
Hspa5,0.03020336,0.725106682,-1.184790878,-0.273112046,-0.56258862,0.418212114,0.095564314,-0.439877414,-0.461458233,-0.520983706,0.354254242,0.053312143,-0.35833845,0.254976281,0.21134404,0.603498653,-0.23972095,1.080534075
Hsd11b1,0.084374387,0.436763203,-0.936600636,0.418879348,-0.014759199,0.867382845,0.161320648,-0.202256327,-0.032958256,0.336508661,0.416006765,0.266269038,0.482746662,0.727329157,-0.03988673,0.386324104,0.366467256,0.96490894
Eef2,0.730382698,0.564158623,-0.577014468,0.165998167,0.162713903,0.294105818,0.012199975,0.088770324,0.478788194,0.040372495,0.717043266,0.496975909,0.347588019,0.638884294,0.971525344,0.652746778,1.492760113,3.151538669
Psmd2,0.09440612,0.320975686,-1.28215706,1.07453606,1.398639557,0.96865343,-0.027503103,-0.262567166,1.471366644,1.360063811,-0.047212813,-0.108376136,2.341942875,1.248548445,0.424611301,0.285773555,3.038849093,2.97110352
Canx,0.143041213,1.004740322,-1.367262557,-0.267273099,-1.027105982,0.095566821,0.486569131,0.10600996,-0.318375867,-0.348260843,0.613244934,0.430452506,0.530325905,-0.026659586,0.395749032,0.934179827,0.391363918,0.137288645
Gpx1,-1.038349301,-0.337866945,1.155740947,0.296536674,0.313416679,0.698511948,-0.269838341,-0.751523974,-0.252083865,0.388471634,-0.269781998,0.235115859,0.379319653,0.432261416,-1.277524417,-1.027427085,-0.60016405,-0.288986895
Rpl23,-0.148569185,0.302028537,-0.498308118,0.602278323,-0.229021369,0.392654326,0.170927851,0.024616521,0.290001912,0.45933614,0.1676005,-0.077112393,1.25190167,0.786794013,-1.007141432,-1.088614,0.03263088,0.699948112
Lrp1,0.025433206,0.303314894,-0.221221928,-0.411544927,-0.041499611,0.266675549,0.208425498,0.210639925,-0.144831756,-0.277147544,0.487279485,0.976530357,-0.221280714,-0.03347195,0.416750678,1.121010008,-0.367512827,-0.044051298
Osbpl8,-1.162011651,-0.748846147,0.399672715,0.017894548,0.156292357,0.026885851,-1.021030039,-0.46021041,-0.013734435,0.40557849,-0.733091943,-0.249893605,0.742691297,0.49928721,-1.113116345,-1.158143246,-0.350028069,0.006357322
